Rank,Lemma,POS,Definition,
2318,pen,noun,a writing instrument that uses ink ,ペン
2319,recovery,noun,when a system or situation or person returns to the way it was before something bad happened,回復
2320,seal,noun,an animal with smooth fur that eats fish and lives near the sea,アシカ、アザラシ
2321,tube,noun,"a long, hollow object that is used especially to control the flow of a liquid or gas ",筒
2322,tower,noun,"a tall, narrow building or structure that may stand apart from or be attached to another building or structure",タワー
2323,characterize,verb,to be typical of someone or something; to describe or show someone or something in a particular way,特徴づける、描写する
2324,specify,verb,"to state, name or mention exactly and clearly",明記する
2325,exact,adjective,fully and completely correct or accurate ,正確な
2326,spin,verb,to turn or cause someone or something to turn around repeatedly,回転する
2327,operator,noun,"a person who uses and controls something (such as a machine, device, or business): someone who operates something",オペレーター
2328,infant,noun,a baby or very young child,幼児
2329,dig,verb,"to move soil, sand, snow, etc., in order to create a hole ",掘る
2330,drag,verb,to pull (someone or something that is heavy or difficult to move) ,引きずる
2331,mount,noun,to increase in amount or level,上がる
2332,wrap,verb,to cover (something) by winding or folding a piece of material around it ,包む
2333,anticipate,verb,to expect or look ahead to something positively,予測する
2334,dependent,adjective,decided or controlled by something else,依存している
2335,specialize,verb,to spend most of your time studying one particular subject or doing one type of business,専門とする
2336,angle,noun,the difference between the direction of two lines or surfaces that come together: the space or shape formed when two lines or surfaces meet each other ,角
2337,chicken,noun,a bird that is raised by people for its eggs and meat ,鶏肉
2338,anxiety,noun,fear or nervousness about what might happen,不安
2339,virus,noun,"an infectious organism too small to be seen that causes disease, or an illness that it causes; a harmful computer program",ウイルス
2340,precisely,adverb,exactly,正確に
2341,rival,noun,a person or thing that tries to defeat or be more successful than another ,好敵手
2342,offense,noun," a criminal act; something that causes a person to be hurt, angry, or upset ",犯行
2343,detect,verb,to discover or identify the presence of something,検出する
2344,teenager,noun,someone who is between 13 and 19 years old,１０代の
2345,admire,verb, to feel respect or approval for (someone or something) ,称賛する
2346,moderate,adjective,average in size or amount;  neither too much nor too little ,適度の
2347,surgery,noun,when a doctor cuts your body open and repairs or removes something,手術
2348,musician,noun,"a person who writes, sings, or plays music",ミュージシャン
2349,significance,noun,the importance or meaning of something,意義、重要性
2350,shower,noun,a device that produces a spray of water for you to stand under and wash your body ,シャワー
2351,illegal,adjective,not allowed by law,非合法の
2352,charity,noun,"an official organization that gives money, food, or help to people who need it; money, food, or other help",慈善
2353,universal,adjective,done or experienced by everyone ,普遍的な
2354,cigarette,noun,"a thin tube of paper filled with tobacco, that people smoke",たばこ
2355,constitute,verb,to make up or form something,構成する
2356,adequate,adjective,enough for someone's needs,十分な
2357,consultant,noun,someone who advises people about a particular subject,コンサルタント
2358,historian,noun,someone who studies or writes about history,歴史家
2359,cousin,noun,a child of your uncle or aunt,いとこ
2360,visual,adjective,"relating to seeing or to the eyes, sight",視覚
2361,stupid,adjective,not intelligent : having or showing a lack of ability to learn and understand things ,頭が悪い
2362,keen,adjective,very interested or enthusiastic; very good or well developed,熱心な
2363,ethnic,adjective,connected with people who shares a cultural tradition,民族
2364,twin,noun,one of two children who are born to the same mother at the same time,双子
2365,clinical,adjective,relating to medical treatment and tests,臨床の
2366,eastern,adjective,located toward the east ,東部の
2367,forecast,noun,a report saying what is likely to happen in the future,予測
2368,segment,noun,one of the parts that something can be divided into,部分
2369,custom,noun,an action or way of behaving that is usual and traditional among the people in a particular group or place,慣習
2370,adapt,verb,to change something to fit a new purpose,適応する
2371,sand,noun," the very tiny, loose pieces of rock that cover beaches, deserts, etc. ",砂
2372,cap,noun,"a small, soft hat that often has a hard curved part (called a visor) that extends out over your eyes ",帽子
2373,prompt,adjective,to cause (someone) to do something ,促す
2374,charm,noun,a quality that causes someone or something to be very likable : an attractive quality ,魅力
2375,react,verb,to behave or make change in a particular way,反応する
2376,lecture,noun,a talk or speech about a particular subject,講義
2377,venture,noun,a new activity that may not be successful,冒険
2378,compound,verb,combining two or more parts to form something new,調合する
2379,rescue,verb,to save (someone or something) from danger or harm ,救う
2380,mess,noun,"Someone or something that is a mess, or is in a mess, is dirty or untidy; a confused or difficult situation",乱雑、混乱
2381,preference,noun,a feeling of liking or wanting one person or thing more than another person or thing,好み
2382,comprehensive,adjective,including most or all things,包括的な
2383,incentive,noun,something that encourages a person to work hard,やる気、動機付け
2384,league,noun,a group of teams which compete against each other in a sport,リーグ
2385,dialog,noun,"a short conversation, especially written",対話
2386,cream,noun,a very thick liquid or soft substance that is rubbed into the skin to make it softer or is used as a medicine for the skin,クリーム
2387,rapid,adjective,happening in a short amount of time,急速に
2388,cancel,verb,to say that an organized event will not now happen; to stop an order for goods or services,中止、キャンセルする
2389,regret,verb, to feel sad or sorry about (something that you did or did not do) : to have regrets about (something) ,後悔する、残念に思う
2390,dismiss,verb,to send (someone) away : to cause or allow (someone) to leave ,解雇する
2391,margin,noun,"the edge or border of a page on above, below",余白
2392,beneath,preposition,in or to a lower position : below ,～の下で
2393,opponent,noun,someone who you compete against in a game or competition; someone who disagrees with an idea or action,対戦相手、反対者
2394,resist,verb,to fight against (something) : to try to stop or prevent (something) ,抵抗する
2395,capability,noun,the ability or power to do something,能力
2396,absolute,adjective,complete and total ,絶対的な
2397,correspond,verb,to have similarity or equality with something,相当する
2398,stroke,noun,a serious illness caused when a blood vessel in your brain suddenly breaks or is blocked ,脳卒中
2399,dare,verb,to have enough courage or confidence to do something,勇気がある
2400,barrier,noun,something that prevents people from doing what they want to do,障害
2401,rid,verb,to no longer have or be affected or bothered by (someone or something that is unwanted or annoying) ,取り除く
2402,divorce,noun,when two people officially stop being married,離婚する
2403,ruin,verb,"to damage (something) so badly that it is no longer useful, valuable, enjoyable, etc.: to spoil or destroy (something)",台無しにする
2404,bury,verb,to put (a dead person or animal) in a grave ,埋葬する
2405,counsel,noun,a lawyer; advice,弁護士、助言
2406,tendency,noun,"something that someone often does, or something that often happens",傾向
2407,frequent,adjective,happening often ,頻繁に
2408,motor,noun,a machine that produces motion or power for doing work,モーター
2409,survival,noun,"when someone or something continues to live or exist, especially after a difficult or dangerous situation",生き残ること
2410,counter,verb,to prevent something or reduce the bad effect that it has,対抗する
2411,possess,verb,to have or own (something) ,所有する
2412,permission,noun,the right or ability to do something that is given by someone who has the power to decide if it will be allowed or permitted ,許可
2413,valley,noun,an area of low land between hills or mountains ,谷
2414,float,verb,to rest on top of a liquid ,浮く
2415,mad,adjective,very angry ,怒り狂ってる
2416,greatly,adverb,very much,大いに
2417,visible,adjective,"can see , easily seen or understood",目に見える
2418,electric,adjective,of or relating to electricity ,電気の
2419,impressive,adjective,Someone or something that is impressive makes you admire and respect them,印象的な
2420,evolution,noun,the way in which living things gradually change and develop over millions of years; a gradual process of change and development,進化
2421,awareness,noun,when you know about something,意識
2422,violent,adjective,using or involving the use of physical force to cause harm or damage to someone or something ,暴力
2423,slave,noun,someone who is legally owned by another person and is forced to work for that person without pay,奴隷
2424,wealthy,adjective,rich,豊か
2425,architecture,noun,the design and style of buildings; the profession of designing buildings,建築
2426,acceptable,adjective,good enough; allowed or approved of,容認できる、受諾可能な
2427,journal,noun,a book for recording personal experiences and thoughts,日記
2428,coal,noun,a black or brownish-black hard substance within the earth that is used as a fuel,石炭
2429,measurement,noun,the process of measuring something; the size and shape of something,測定、寸法
2430,random,adjective,"chosen, done without a particular plan or pattern",ランダムな
2431,successfully,adverb,in a way that acomplishes what you want to achieve,うまく
2432,depress,verb,to make feel sad or depressed,落ち込ませる
2433,illustration,noun,"a picture in a book, magazine, etc.; an example that explains or proves something",イラスト、例
2434,burst,verb, to break open or into pieces in a sudden and violent way ,爆発
2435,privilege,noun,"an advantage that only one person or group has, usually because of their position or because they are rich",特権
2436,buyer,noun,someone who buys something,買い手
2437,mutual,adjective,shared between two or more people,共有の
2438,rail,noun,a bar that goes from one post or support to another and that is used to form a barrier ,手すり、（電車の）レール
2439,motivate,verb,to make someone enthusiastic about doing something,やる気にさせる
2440,laboratory,noun,a room used for scientific work,研究室
2441,mortgage,noun,money that you borrow to buy a home,抵当
2442,promotion,noun,when someone is given a more important job in the same organization; an advertising campaign or sale,促進、昇進
2443,passion,noun,a strong belief in something or a strong feeling about a subject; sexual feelings,情熱
2444,champion,noun,"a person, animal, or team that wins a competition",チャンピオン
2445,fulfill,verb,to do something that you have promised to do or that you are expected to do,遂行する
2446,dust,noun, fine dry powder that builds up inside buildings on surfaces that have not recently been cleaned ,埃
2447,dedicate,verb,to give energy and time to something,専念する
2448,roughly,adverb,approximately,およそ
2449,skirt,noun,a piece of clothing worn by women and girls that hangs from the waist down,スカート
2450,province,noun,one of the large areas which some countries are divided into because of the type of government they have,州
2451,march,verb,to walk with regular steps as a group : to walk in the regular and organized way of soldiers ,行進
2452,evaluation,noun,to consider or study something carefully and decide how good or bad it is,評価
2453,compromise,verb,when you agree to something which is not exactly what you want,妥協する
2454,accomplish,verb,to succeed in doing something good,成し遂げる
2455,weakness,noun,when someone or something is not strong or powerful; a part of something or someone that is not good,弱点
2456,announcement,noun,"something that someone says officially, giving information about something",発表、告知
2457,salt,noun,a natural white substance that is used especially to flavor or preserve food ,塩
2458,glance,verb,to look somewhere for a short time,ちらりと見る
2459,opera,noun,a musical play in which most of the words are sung,歌劇
2460,contest,noun,a competition or election,コンテスト
2461,brush,noun,"a tool with many stiff hairs, fibers, etc., that is used for cleaning, smoothing, or painting something",刷毛
2462,embarrass,verb,to make someone feel ashamed or shy,恥をかかせる
2463,gallery,noun,a room or building that is used for showing paintings and other art to the public,画廊
2464,genetic,adjective,relating to genes (= parts of cells which control particular characteristics),遺伝的な
2465,aggressive,adjective,behaving in an angry and violent way towards others; using forceful methods in order to achieve,積極的
2466,chest,noun,the front part of the body between the neck and the stomach ,腰
2467,format,noun,"the form, design, or arrangement of something",書式、形式
2468,literary,adjective,of or relating to literature ,文学の
2469,govern,verb,"to officially control and lead, conduct the policy, make decisions",支配する
2470,embrace,verb,"to hold, or hug, someone; to accept new ideas, beliefs, etc. in an enthusiastic way",抱き締める、受け入れる
2471,praise,verb, to say or write good things about (someone or something) : to express approval of (someone or something),称賛する
2472,silent,adjective,not speaking or making noise,静かな
2473,pump,noun,"a device that forces liquid, air, or gas into or out of something ",ポンプ
2474,publisher,noun,"a company or person who prepares and prints books, newspapers, magazines, etc.",出版社
2475,celebration,noun,when you celebrate a special day or event,お祝い
2476,golf,noun,"a game on grass where players try to hit a small ball into a series of holes using a long, thin stick",ゴルフ
2477,compensation,noun,money that you pay to someone because you are responsible for injuring them or damaging something; money paid for work,賠償
2478,classical,adjective,music by people like Mozart and Stravinsky; traditional in style,古典的な
2479,weigh,verb,to find how heavy (someone or something) is : to measure the weight of ,量る
2480,versus,preposition,used to say that one team or person is competing against another; used to compare two things or ideas,対
2481,deficit,noun,the amount by which the money that you spend is more than the money that you receive,赤字
2482,modify,verb,to make minor change to something,修正する
2483,flash,noun,a sudden bright light ,ひらめき、閃光
2484,friendship,noun,the state of being friends : the relationship between friends,友情
2485,profession,noun,a type of job that requires special education or skill,専門
2486,literally,adverb,having the real or original meaning of a word or phrase,文字通りに
2487,equation,noun,when you show that two amounts are equal using mathematical symbols,方程式
2488,gesture,noun,"a movement you make with your hand, arm, or head to express what you are thinking or feeling",ジェスチャー
2489,entertain,verb, to have people as guests in your home or in a public place ,楽しませる
2490,fantastic,adjective,very good,すばらしい
2491,assign,verb,to give someone a particular job or something to do,割り当てる
2492,inflation,noun,"the rate at which prices increase, or a continuing increase in prices",インフレ
2493,historic,adjective,important in history or likely to be important in history,歴史的な
2494,injure,verb,do physical harm or damage,にけがをさせる
2495,remote,adjective,far away,遠隔
2496,therapy,noun,the work of treating mental or physical illness without using an operation,治療
2497,orange,noun,a citrus fruit that is round and that has an orange skin ,オレンジ
2498,twist,verb,to bend or turn (something) in order to change its shape,ひねる
2499,personnel,noun,the people who work for an organization,職員
2500,imagination,noun,the ability to create ideas or pictures in your mind,想像
2501,disagree,verb,to have a different opinion : to fail to agree ,反対する
2502,throat,noun,the tube inside the neck that leads to the stomach and lungs ,喉
2503,insight,noun,the capacity to understand something very clearly ,洞察力
2504,tackle,verb,"to try to deal with a problem; in sports, to try to take the ball from someone or knock them down",取り組む、タックルする
2505,forever,adverb,for all time in the future,永遠に
2506,exceed,verb,to be greater in number than something,超える
2507,expenditure,noun,"when you use energy, time, or money",出費
2508,joy,noun, a feeling of great happiness,楽しさ
2509,pregnant,adjective,A pregnant woman has a baby developing inside her uterus,妊娠した
2510,reliable,adjective,able to be trusted or believed,信頼できる
2511,gear,noun,a set of parts in a vehicle or bicycle that control how fast the wheels turn; the clothes and equipment used for a particular purpose,ギア、衣服
2512,poet,noun,a person who writes poems,詩人
2513,fortune,noun,a very large amount of money,大金
2514,ceremony,noun,a formal act or event that is a part of a social or religious occasion ,式典
2515,pile,noun,a group of things that are put one on top of another ,山（積み重ね）
2516,pig,noun,"an animal that has a fat body with short legs, a small tail, and a wide nose and that is raised on a farm or lives in the wild",豚
2517,mixture,noun,something made by combining two or more ingredients ,混合物
2518,automatically,adverb,without human control,自動的に
2519,scholar,noun,someone who has studied a subject and knows a lot about it,学者
2520,psychological,adjective,relating to the human mind and feelings,心理的な
2521,dramatically,adverb,suddenly or unexpectedly; with much drama,ドラマチックに、劇的に
2522,stake,noun,"If something is at stake, it is in a situation where it might be lost or damaged; an amount of money invested in a business",賭ける、出資金
2523,creature,noun,an animal of any type ,生き物
2524,partnership,noun,when two people or organizations work together to achieve something,連携
2525,participation,noun,to be involved with other people in an activity,参加
2526,clause,noun,a part of a sentence that has its own subject,主節
2527,penalty,noun,a punishment for doing something which is against a law or rule,罪
2528,chamber,noun,a room used for an official or special purpose,部屋
2529,fancy,verb,to want to have or do (something),～したい気分だ
2530,poetry,noun,"poems in general, or the writing of poetry",詩
2531,chat,verb,to talk with someone in a friendly and informal way,お喋り
2532,clothing,noun,"clothes, especially of a particular type",衣類
2533,evolve,verb,to slowly change or develop into something better,進化する
2534,sake,noun,the benefit of someone or something — used in phrases with for to say that something is done to help a particular person or thing,利益、～のため
2535,shelf,noun," a flat board which is attached to a wall, frame, etc., and on which objects can be placed ",棚
2536,boost,noun,"something that makes you feel more confident and happy, or that helps something increase or improve",後押し
2537,tail,noun,the part of an animal's body that extends from the animal's back end ,しっぽ
2538,possession,noun,the condition of having or owning something ,所有物
2539,abortion,noun,a medical operation to end a pregnancy when the baby is still too small to live,中絶
2540,curious,adjective,having a desire to learn or know more about something or someone ,好奇心旺盛な
2541,wooden,adjective,made of wood ,木製の
2542,boom,noun,"a period when there is a big increase in sales or profits; a loud, deep sound",好況、ブーンとなる音
2543,tale,noun,"a story, especially one which is not true or is difficult to believe",(事実・伝説・架空の）話、物語
2544,democratic,adjective,following or supporting the political system of democracy; where everyone has equal rights and can help to make decisions,民主主義の、民主的な
2545,maintenance,noun,the work that is done to keep something in good condition,保守
2546,consequently,adverb,as a result,結果的に
2547,pot,noun,"a deep, round container that is used for cooking ",ポット
2548,cow,noun,a large animal that is raised by people for milk or meat usually on a farm ,牛
2549,strengthen,verb,"to make (someone or something) stronger, more forceful, more effective, etc. ",強化する
2550,whilst,conjunction,during the same time; used to compare two different facts or situations,の間に、一方で
2551,constraint,noun,something that limits what you can do,制約
2552,fold,noun, to bend one part of (something) over or against another part ,折る
2553,bin,noun,a container that is used to put waste in; a container for storing things,ごみ箱
2554,undergo,verb,"to experience or endure, be subjected to",経験する、耐える、受ける
2555,potentially,adverb,possibly,潜在的に
2556,scope,noun,the area that is included in or dealt with,範囲、領域
2557,pretend,verb, to act as if something is true when it is not true,ふりをする
2558,diversity,noun,when many different types of things or people are included in something,多様性
2559,allege,verb,"to say that someone has done something wrong or illegal, but not prove it",申し立てる
2560,pride,noun,a feeling that you respect yourself and deserve to be respected by other people,誇り
2561,intense,adjective,"very strong, great or extreme in degree",激しい
2562,inquiry,noun,a request for information ,照会
2563,resign,verb,to give up (a job or position) in a formal or official way,辞める
2564,craft,noun,"an activity in which you make something using a lot of skill, especially with your hands; a boat, airplane, or spaceship",工作
2565,strict,adjective,"used to describe a command, rule, etc., that must be obeyed",厳しい
2566,concrete,noun,"a hard substance that is used in building and is made by mixing sand, water, small stones, and cement",コンクリート
2567,shell,noun,"the hard outer covering of an animal, insect, etc., that protects it ",殻
2568,damn,interjection,used to express anger,くそっ
2569,distinct,adjective,recognizably different in nature from something else,区別できる
2570,humor,noun,the ability to laugh and recognize that something is funny,ユーモア
2571,limitation,noun,when something is controlled so that it is less than a particular amount or number,制限
2572,indication,noun,a sign showing that something exists or is likely to be true,兆候、印
2573,stability,noun,when something is not likely to change or move,安定性
2574,wise,adjective,having or showing wisdom or knowledge usually from learning or experiencing many things ,賢い
2575,neglect,verb,to fail to take care of or to give attention to (someone or something),怠る
2576,compose,verb,to come together to form or make (something) ,構成する
2577,jail,noun,a place where criminals are kept as a punishment,牢屋
2578,shelter,noun,a structure that covers or protects people or things,避難所
2579,mere,adjective,"used to say that something is small, unimportant, etc.",ほんの
2580,carbon,noun,a chemical element present in all animals and plants and in coal and oil (symbol C),炭素
2581,regulate,verb,"to set or adjust the amount, restrict something",調節する、規制する
2582,cheese,noun,a yellow or white solid food that is made from milk,チーズ
2583,trigger,noun,a lever on a gun that you pull to fire,引き金
2584,pipe,noun,"a long, hollow tube for carrying water, steam, gas, etc. ",パイプ
2585,destruction,noun,the act or process of damaging something so badly that it no longer exists or cannot be repaired ,破壊
2586,guitar,noun,a musical instrument with strings that you play by pulling the strings with your fingers or a piece of plastic,ギター
2587,flag,noun,a piece of cloth with a special design that is used as a symbol of a nation or group ,旗
2588,piano,noun,a large wooden musical instrument with strings inside and black and white bars that produce sounds when you press them,ピアノ
2589,magic,noun,special powers that can make things happen that seem impossible,魔法
2590,mystery,noun,something that is not known ,謎
2591,ski,noun,"one of a pair of long, thin pieces of wood or plastic that you wear on the bottom of boots to move over snow",スキー
2592,whisper,verb,to speak very softly or quietly,ささやく
2593,rear,adjective,the back part of something,後ろ
2594,menu,noun,a list of food and drinks that you can order in a restaurant; a list of choices on a computer or electronic device,お品書き
2595,species,noun,a group of plants or animals which share similar characteristics,種
2596,moon,noun,the large round object that circles the Earth and that shines at night by reflecting light from the sun ,月
2597,presumably,adverb,used to say what you think is the likely situation,おそらく
2598,bless,verb,to make (something or someone) holy by saying a special prayer ,神聖にする
2599,airline,noun,a company that provides regular flights to places,航空
2600,amendment,noun,"a change in the words of a document, or the process of doing this",改正
2601,grandmother,noun,the mother of your mother or father,祖母
2602,jury,noun,a group of people in a court of law who decide if someone is guilty or not,陪審
2603,cooperation,noun,when you work together with someone or do what they ask you,協力
2604,civilian,noun,someone who is not a member of a military organization or the police,民間人
2605,composition,noun, the way in which something is put together or arranged ,構成
2606,coin,noun,"a small, flat, and usually round piece of metal issued by a government as money",硬貨
2607,regardless,adverb,without thinking about problems or difficulties,～にかかわらず
2608,scan,verb,to examine something with a machine; to use a machine that copies a document into a computer,スキャン
2609,bunch,noun,a group of things of the same kind that are held or tied together or that grow together ,房
2610,racial,adjective,relating to people's race,人種の
2611,greet,verb,to meet (someone who has just arrived) with usually friendly and polite words and actions : welcome ,挨拶する
2612,hopefully,adverb,"used, often at the start of a sentence, to express what you would like to happen",願わくは
2613,sanction,noun,a punishment for not obeying a rule or a law,制裁
2614,trick,noun,an action that is meant to deceive someone,巧妙な技
2615,paragraph,noun,a section of writing that usually deals with one subject,段落
2616,maker,noun,the person or company that makes a product,製作者
2617,chocolate,noun,"a sweet, brown food that is made from cocoa",チョコレート
2618,stimulate,verb,to make something happen or develop more; to make someone feel interested and excited,促す、刺激する
2619,belt,noun,a band of material (such as leather) that is worn around a person's waist,ベルト
2620,potato,noun,"a round vegetable with a brown, yellow, or red skin that grows in the ground",じゃがいも
2621,narrative,noun,a story or description of a series of events,物語
2622,tissue,noun,the material that animals and plants are made of; a soft piece of paper that you use for cleaning your nose,ティッシュペーパー、組織
2623,barely,adverb,only just,かろうじて
2624,invent,verb,to create or produce (something useful) for the first time ,発明する
2625,tourism,noun,"the business of providing services for tourists, including organizing their travel, hotels, entertainment, etc.",観光事業
2626,pro,noun,someone who earns money for playing a sport,プロ
2627,stair,noun,a series of steps that go from one level or floor to another ,階段
2628,hesitate,verb,to stop briefly before you do something especially because you are nervous or unsure about what to do ,ためらう
2629,shine,verb,to give off light ,輝く
2630,motivation,noun,enthusiasm for doing something; the need or reason for doing something,意欲、動機
2631,romantic,adjective,relating to feelings or stories of love,ロマンティック
2632,firmly,adverb,"not gently, with some force",しっかりと
2633,interior,noun,the inside part of something,内側
2634,stomach,noun,the organ in your body where food goes and begins to be digested after you swallow it ,胃
2635,nowhere,adverb,not in or at any place ,どこにも～ない
2636,pray,verb,to hope or wish very much for something to happen,祈る
2637,championship,noun,a competition to find the best team or player in a particular game or sport,選手権
2638,servant,noun,a person who is hired to do household or personal duties such as cleaning and cooking ,使用人
2639,immigrant,noun,someone who comes to live in a different country,移民
2640,excess,noun,an amount that is more than the usual or necessary amount ,余分
2641,complexity,noun,involving a lot of different but connected parts in a way that is difficult to understand,複雑さ
2642,liability,noun,when you are legally responsible for something; a debt; a disadvantage,法的責任、債務
2643,surprisingly,adverb,in an unexpected way that makes someone feel surprised,驚くべき
2644,extract,verb,to remove or take out ,引き抜く
2645,implementation,noun,"to make a law, system, plan, etc. start to happen or operate",実施、実装
2646,bias,noun,a tendency to believe certain people or ideas,偏見
2647,differently,adverb,not in the same way as someone or something else,異なって
2648,catalog,noun,"a book with a list of all the goods that you can buy from a shop, or of all the books, paintings, etc. that you can find in a place",カタログ
2649,continuous,adjective,happening or existing without stopping,連続的な
2650,golden,adjective,made of gold ,金の
2651,stamp,noun,a small piece of paper that you buy and then stick to an envelope or package to pay the cost of mailing it ,切手
2652,guideline,noun,"a rule, instruction or principle",指針
2653,envelope,noun,"an enclosing cover for a letter, card, etc.",封筒
2654,knife,noun,a usually sharp blade attached to a handle that is used for cutting or as a weapon ,ナイフ
2655,biological,adjective,relating to the study of living things such as plants and animals,生物学的
2656,consume,verb,"to eat, drink, buy or use up something",消費する
2657,luxury,adjective,something expensive that you enjoy but do not need,贅沢な
2658,weekly,adjective,happening once a week or every week,週１
2659,wherever,adverb,in what place;  where - used in questions that express surprise or confusion,どこでも
2660,bite,verb,to press down on or cut into (someone or something) with the teeth,かむ
2661,printer,noun,a machine which is connected to a computer and which produces writing or images on paper,印刷機
2662,firstly,adverb,"used to introduce the first idea, reason, etc. in a series",初めに
2663,anxious,adjective,afraid or nervous especially about what may happen :feeling anxiety ,心配する
2664,adventure,noun,an exciting or dangerous experience ,冒険
2665,fence,noun,a structure like a wall built outdoors usually of wood or metal that separates two areas or prevents people or animals from entering or leaving,フェンス
2666,exhaust,verb,to finish all of the supply of something; to make someone very tired,疲れ果てさせる、使い果たす
2667,attraction,noun," something interesting or enjoyable that people want to visit, see, or do ",ひきつけるもの
2668,ocean,noun,the salt water that covers much of the Earth's surface ,海洋
2669,quietly,adverb,making little or no noise,静かに
2670,castle,noun,"a large building usually with high, thick walls and towers that was built in the past to protect against attack",城
2671,veteran,noun,someone who has been in the military; someone who has done a job or activity for a long time,ベテラン
2672,reflection,noun,an image that is seen in a mirror or on a shiny surface ,反射
2673,nerve,noun,one of the threads in your body which carry messages between your brain and other parts of the body,神経
2674,determination,noun,"when someone continues trying to do something, although it is very difficult",決意
2675,altogether,adverb,"completely and fully : totally, entirely ",完全に
2676,fiction,noun,literature and stories about imaginary people or events; not real,フィクション
2677,carpet,noun,"thick material for covering floors, often made of wool",カーペット
2678,cluster,noun,a group of similar things that are close together,群
2679,confusion,noun,a situation in which people are uncertain about what to do or are unable to understand something clearly,混乱
2680,hurry,verb,"to move, act, or go quickly ",急ぐ
2681,logic,noun,a proper or linear way of thinking about something,論理
2682,controversial,adjective,causing a lot of disagreement or argument,議論を呼ぶ
2683,raw,adjective,"not cooked, or in a natural state;  not treated or prepared",生の、未加工の
2684,grammar,noun,the set of rules that explain how words are used in a language,文法
2685,revise,verb,"to make changes, add something to improve",修正する
2686,hint,noun,"when you say something that suggests what you think or want, but not in a direct way; a clue",ほのめかす、ヒント
2687,hook,noun," a curved or bent tool for catching, holding, or pulling something ",鉤
2688,bell,noun, a hollow usually cup-shaped metal object that makes a ringing sound when it is hit ,ベル
2689,liquid,noun,a substance that is able to flow freely,液体
2690,panic,noun,"a sudden, strong feeling of worry or fear that makes you unable to think or behave calmly",パニック
2691,uncle,noun, the brother of your father or mother or the husband of your aunt ,叔父
2692,rice,noun,small white or brown grains that come from a southeast Asian plant and that are used for food ,おこめ
2693,slope,noun,ground that slants downward or upward : ground that slopes ,坂
2694,happiness,noun,the feeling of being happy,幸せ
2695,genuine,adjective,"If a person or their feelings are genuine, they are sincere and honest; real",正真正銘の
2696,vessel,noun,a ship or large boat ,貨物船
2697,verb,noun,"a word (such as jump, think, happen, or exist) that is usually one of the main parts of a sentence and that expresses an action, an occurrence, or a state of being",動詞
2698,reckon,verb,to think that something is probably true,～だと思う
2699,silly,adjective,"stupid, small and not important",愚か
2700,transportation,noun,"a vehicle or system of vehicles, such as buses, trains, etc. for getting from one place to another",交通
2701,harbor,noun," a part of the ocean, a lake, etc., that is next to land and that is protected and deep enough to provide safety for ships",湾
2702,comedy,noun,"entertainment such as a film, play, etc. which is funny",コメディ
2703,chase,noun,to run after someone or something in order to catch them,追いかける
2704,storage,noun,when you put things in a safe place until they are needed,保管場所
2705,universe,noun,"all of space and everything in it including stars, planets, galaxies, etc.",宇宙
2706,horrible,adjective,very unpleasant or bad,ひどい
2707,sheep,noun,an animal with a thick woolly coat that is often raised for meat or for its wool and skin ,羊
2708,lover,noun,"If two people are lovers, they have a sexual relationship but they are not married",恋人
2709,rat,noun,an animal that looks like a large mouse and has a long tail,ラット
2710,portrait,noun,"a painting, drawing, or photograph of someone",肖像
2711,innocent,adjective,not guilty of committing a crime,潔白な、無実な
2712,substitute,noun,a person or thing that makes the place instead of something,控え
2713,supplement,noun,"something that is added to make it complete, help understanding",補足
2714,adjustment,noun,"a slight change that you make to something so that it works better, fits better, or is more suitable",調整
2715,reasonably,adverb,"in a fair way, showing good judgment",合理的に
2716,filter,noun,to pass a liquid or gas through a piece of equipment in order to remove solid pieces or other substances,フィルター
2717,flexible,adjective,capable of being easily bent changed without breaking,曲げやすい
2718,abstract,adjective,relating to something that doesn't exist,抽象的な
2719,tent,noun,"a portable shelter that is used outdoors, is made of cloth (such as canvas or nylon), and is held up with poles and ropes ",テント
2720,precise,adjective,very accurate and exact expression or detail,正確な、精密な
2721,distant,adjective,existing or happening far away in space,遠い
2722,stranger,noun,someone you have never met before,初対面の人、知らない人
2723,shade,noun,an area of slight darkness that is produced when something blocks the light of the sun ,影
2724,grain,noun,"the seeds of plants (such as wheat, corn, and rice) that are used for food ",穀物
2725,situate,verb,to put something in a particular position,～に置く
2726,summarize,verb,to describe briefly the main facts or ideas of something,要約する
2727,leap,verb,to jump from one place to another,跳ねる
2728,snap,verb,"to break something, such as a pencil, making a short, loud sound",バキっ！　ばしん！、折る
2729,probability,noun,how likely it is that something will happen,見込み
2730,leather,noun,"animal skin that is chemically treated to preserve it and that is used in making clothes, shoes, furniture, etc.",革
2731,uncertainty,noun,"not known, or not completely certain",不確実なこと
2732,swear,verb,to state (something) very strongly and sincerely,誓う
2733,refugee,noun,"someone who has been forced to leave their country, especially because of a war",難民
2734,shore,noun,"the land along the edge of an area of water (such as an ocean, lake, etc.)",岸
2735,monthly,adjective,happening or produced once a month,月１
2736,comprise,verb,to make up or form something,構成する
2737,stir,verb,to mix (something) by making circular movements in it with a spoon or similar object ,かき混ぜる
2738,excitement,noun,a happy and enthusiastic feeling,興奮
2739,sigh,verb,"to breathe out slowly and noisily, often because you are annoyed or unhappy",ため息をつく
2740,pregnancy,noun,when a woman is pregnant,妊娠
